工號,姓名,單位
SW00001,機器人01,打雜
SW00002,機器人02,打雜
SW00003,機器人03,打雜
SW00004,機器人04,打雜
SW00005,機器人05,打雜
SW00006,機器人06,打雜
SW00007,機器人07,打雜
SW00008,機器人08,打雜
SW00009,機器人09,打雜
SW00010,機器人10,打雜
SW00011,機器人11,打雜
SW00012,機器人12,打雜
SW00013,機器人13,打雜
SW00014,機器人14,打雜
SW00015,機器人15,打雜
SW00016,機器人16,打雜
SW00017,機器人17,打雜
SW00018,機器人18,打雜
SW00019,機器人19,打雜
SW00020,機器人20,打雜
SW00021,機器人21,打雜
SW00022,機器人22,打雜
SW00023,機器人23,打雜
SW00024,機器人24,打雜
SW00025,機器人25,打雜
SW00026,機器人26,打雜
SW00027,機器人27,打雜
SW00028,機器人28,打雜
SW00029,機器人29,打雜
SW00030,機器人30,打雜
SW00031,機器人31,打雜
SW00032,機器人32,打雜
SW00033,機器人33,打雜
SW00034,機器人34,打雜
SW00035,機器人35,打雜
SW00036,機器人36,打雜
SW00037,機器人37,打雜
SW00038,機器人38,打雜
SW00039,機器人39,打雜
SW00040,機器人40,打雜
SW00041,機器人41,打雜
SW00042,機器人42,打雜
